sample	strain	publication	study	study_id	year	location	lat	lon	copynumber	more_than1	presence	period
DrosEu-26	TR_Ank_Yes_1_2018-06-25	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Turkey	40.231444	32.260328	1.139168550873587	5303	absent	2017-2019
DrosEu-12	ES_Ciu_Tom_1_2018-10-03	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Spain	39.17	-2.97	1.1356486239579764	5415	absent	2017-2019
SRR23103881	mel86	https://doi.org/10.1126/sciadv.adh3425	PRJNA924930	Chen2024	2017	Jiamusi, Heilongjiang	46	130	1.132562064634007	4159	absent	2017-2019
SRR23876566	H6	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1815	Smaland, Sweden	60	15	1.1187227360968368	108	absent	<2010
SRR14306821	RI80-2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Lange2021	1980	Providence, USA	42	-71	1.1016185908416125	1776	absent	<2010
DrosEu-66	UA_Kha_Kha_1_2021-08-18	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	49.990083	36.230678	1.0890608655932397	4257	absent	2020-2021
DrosEu-79	GR_Kri_Ira_1_2021-10-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Greece	35.32188344	25.11104465	1.087927372387804	4936	absent	2020-2021
DrosEu-188	FR_Her_Sai_1_2021-06-10	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	France	43.709061	3.848005	1.0864233184880667	4022	absent	2020-2021
DrosEu-70	UA_Kie_Hle_1_2021-08-29	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.284972	30.331972	1.065568231129382	3763	absent	2020-2021
DrosEu-11	ES_Ler_Pin_1_2018-10-10	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Spain	41.485	0.522	1.0494115564691104	4267	absent	2017-2019
DrosEu-15	ES_Ler_Gim_1_2020-10-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Spain	41.656416	0.388472	1.046594495831906	4293	absent	2020-2021
DrosEu-85	UA_Don_Roz_1_2021-08-12	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	48.690794	37.005189	1.028538312207377	4658	absent	2020-2021
SRR189076	ED5N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39	1.026224620303757	1822	absent	<2010
DrosEu-60	RS_Kol_Sla_1_2021-09-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Serbia	44.15	20.18	1.009499257736668	4837	absent	2020-2021
DrosEu-81	UA_Myk_Ryb_1_2021-07-22	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	46.616779	31.355456	1.0054178371588445	4379	absent	2020-2021
DrosEu-84	FI_Pir_Aka_1_2021-07-07	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Finland	61.1	23.52	0.9987508279091012	4143	absent	2020-2021
DrosEu-72	UA_Che_Dmy_1_2021-07-17	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	48.788833	30.279833	0.9888169464428456	3746	absent	2020-2021
DrosEu-63	RS_Sre_Sta_1_2020-09-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Serbia	44.9863	20.1667	0.972406075139888	4096	absent	2020-2021
Los_Arbustos	CO_Cun_Tab_1_2019-12-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Colombia	4.967111	-74.08389	0.957547333561722	2941	absent	2017-2019
DrosEu-58	RS_Mac_Zaj_1_2020-09-13	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Serbia	44.4455	19.2512	0.9507183967112024	3447	absent	2020-2021
SRR189092	FR217_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5	0.9149672262190248	1747	absent	2010-2017
SRR3939078	WI_cp_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	43	-90	0.9134087016101404	2639	absent	2010-2017
DrosEu-238	US_Vir_Cha_1_2019-06-18	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	USA	37.979	-78.4897	0.8743810665753111	3520	absent	2017-2019
DrosEu-59	RS_Kol_Sla_1_2021-MM-DD	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Serbia	44.104161	19.981698	0.8376073997944502	3297	absent	2020-2021
DrosEu-101	FR_Cot_Vie_1_2020-08-03	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	France	47.26735	5.45608	0.8349749914354231	132	absent	2020-2021
DrosEu-51	GB_Eas_Sus_1_2021-09-01	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	United Kingdom	51.099767	0.164407	0.8273606257850862	2942	absent	2020-2021
DrosEu-187	FR_Her_Sai_1_2020-11-12	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	France	43.709061	3.848005	0.8214306269270298	3031	absent	2020-2021
DrosEu-104	UA_Kie_Vys_1_2021-09-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	50.383359	30.367921	0.7947898823798104	3001	absent	2020-2021
DrosEu-102	FR_Cot_Vie_1_2021-08-11	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	France	47.26624	5.45114	0.7897523124357657	2633	absent	2020-2021
SRR23103970	mel140	https://doi.org/10.1126/sciadv.adh3425	PRJNA924982	Chen2024	2017	Beijing	40	116	0.7583430398538312	2431	absent	2017-2019
DrosEu-3	ES_Ler_Gim_1_2017-07-24	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Spain	41.65	0.38	0.7548773552586502	2942	absent	2017-2019
DrosEu-189	DE_Bad_Bro_1_2021-07-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	48.217898	7.819194	0.7455775950668037	2566	absent	2020-2021
SRR23104035	mel224	https://doi.org/10.1126/sciadv.adh3425	PRJNA925065	Chen2024	2017	Lhasa, Tibet	29	91	0.7003211145369419	2381	absent	2017-2019
SRR23103884	mel83	https://doi.org/10.1126/sciadv.adh3425	PRJNA924927	Chen2024	2017	Harbin, Heilongjiang	45	126	0.6910400822199383	2060	absent	2017-2019
DrosEu-13	ES_Ler_Gim_1_2019-08-25	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Spain	41.656416	0.388472	0.6837973050131323	1928	absent	2017-2019
SRR23103836	mel44	https://doi.org/10.1126/sciadv.adh3425	PRJNA924888	Chen2024	2017	Hailar, Inner Mongolia	49	119	0.6724784743633665	2482	absent	2017-2019
SRR189095	FR361_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5	0.6550115336302387	1725	absent	2010-2017
SRR098324	UG40-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33	0.6319851547333561	520	absent	<2010
SRR23103826	mel52	https://doi.org/10.1126/sciadv.adh3425	PRJNA924896	Chen2024	2017	Changchun, Jilin	43	125	0.6204493548018728	2102	absent	2017-2019
DrosEu-190	DE_Bad_Bro_1_2021-10-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	48.217898	7.819194	0.5952362681283545	1416	absent	2020-2021
DrosEu-61	RS_Sre_Sta_1_2020-07-02	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Serbia	44.9863	20.1667	0.5931574740207833	1557	absent	2020-2021
SRR23104034	mel109	https://doi.org/10.1126/sciadv.adh3425	PRJNA924953	Chen2024	2017	Jinan, Shandong	36	117	0.5706107114308553	1497	absent	2017-2019
DrosEu-71	AU_Vic_Mel_1_2021-04-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Australia	-37.456222	144.940778	0.5663529747630467	1836	absent	2020-2021
DrosEu-122	UA_Kie_Vys_1_2020-10-15	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Ukraine	50.383359	30.367921	0.5577757222793194	1732	absent	2020-2021
DrosEu-173	MA_Ori_Ber_1_2018-07-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Morocco	35.02990908	-2.402129163	0.5553852917665867	1820	absent	2017-2019
DrosEu-49	DE_Bay_Wue_1_2021-07-27	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	49.778659	9.975929	0.5532436907616763	2197	absent	2020-2021
DrosEu-172	GR_Kri_Ira_1_2019-MM-DD	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Greece	35.30654389	25.08007754	0.5470826767157703	1808	absent	2017-2019
SRR23103872	mel25	https://doi.org/10.1126/sciadv.adh3425	PRJNA924869	Chen2024	2017	Linhe, Bayannur, Inner Mongolia	40	107	0.5337323284229759	2078	absent	2017-2019
DrosEu-56	FR_Hau_Civ_1_2018-09-15	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	France	45	4	0.5171494804156674	1908	absent	2017-2019
SRR189389	RG33_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29	0.5157300445358	1481	absent	<2010
DrosEu-1	ES_Ciu_Tom_1_2017-10-04	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Spain	39.1567614	-3.0497293	0.5043719310266073	1742	absent	2017-2019
DrosEu-75	IT_Tre_San_1_2019-10-01	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Italy	46.191059	11.135751	0.4881875071371474	1508	absent	2017-2019
SRR098915	CO8b-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10	0.47188500628068974	413	absent	<2010
DrosEu-23	TR_Ank_Yes_1_2017-09-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Turkey	40.231448	32.260332	0.4679033915724563	1026	absent	2017-2019
DrosEu-211	FR_Ill_Sai_1_2017-09-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	France	48.13	-1.58	0.4678660500171291	1814	absent	2017-2019
SRR23876565	H5	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1875	Zealand, Denmark	55	12	0.4666219024780176	54	absent	<2010
DrosEu-132	UA_Ode_Ode_1_2020-09-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Ukraine	46.391972	30.68125	0.46524768756423435	363	absent	2020-2021
DrosEu-227	UA_Kie_Vys_1_2017-09-03	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Ukraine	50.383359	30.367921	0.4637668151193331	1912	absent	2017-2019
DrosEu-196	MA_Ori_Nad_1_2016-07-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2016	Morocco	35.032167	-2.394361	0.4621814548361311	806	absent	2010-2017
DrosEu-145	DE_Bay_Mun_1_2018-09-09	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Germany	48.18	11.61	0.46194655704008225	1518	absent	2017-2019
SRR23103798	mel178	https://doi.org/10.1126/sciadv.adh3425	PRJNA925019	Chen2024	2017	Zhangye, Gansu	38	100	0.4588172890259221	2267	absent	2017-2019
DrosEu-89	MA_Ori_Ber_1_2020-09-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Morocco	35.0299088	-2.400933	0.45587689848121504	628	absent	2020-2021
SRR23103797	mel179	https://doi.org/10.1126/sciadv.adh3425	PRJNA925020	Chen2024	2017	Zhangye, Gansu	38	100	0.44079650565262074	1916	absent	2017-2019
SRR189089	FR151_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5	0.4364419321685509	1562	absent	2010-2017
SRR189256	KR4N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36	0.43343747858855775	1521	absent	<2010
DrosEu-204	MA_Ori_Ber_1_2017-07-10	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Morocco	34.95628944	-2.265683413	0.4328466369761334	1076	absent	2017-2019
DrosEu-88	MA_Tan_Lar_1_2021-09-06	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Morocco	35.14673389	-6.149771446	0.4268569144684253	1362	absent	2020-2021
DrosEu-55	FR_Hau_Civ_1_2018-06-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	France	45	4	0.419052186821971	841	absent	2017-2019
SRR189270	RC5_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	28	0.4179827566518214	1431	absent	<2010
SRR23103829	mel5	https://doi.org/10.1126/sciadv.adh3425	PRJNA924849	Chen2024	2017	Hohhot, Inner Mongolia	40	111	0.4159566061436565	944	absent	2017-2019
DrosEu-125	UA_Ode_Ode_1_2020-08-28	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Ukraine	46.441227	30.771592	0.4150068516615279	643	absent	2020-2021
SRR23103944	mel190	https://doi.org/10.1126/sciadv.adh3425	PRJNA925031	Chen2024	2017	Lanzhou, Gansu	36	100	0.412966541052872	1860	absent	2017-2019
DrosEu-115	DK_Mid_Kar_1_2020-10-31	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Denmark	55.945128	10.212586	0.4107926230444216	1523	absent	2020-2021
DrosEu-54	FR_Ain_Civ_1_2019-06-15	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	France	45.921	4.882	0.4087452323855202	1432	absent	2017-2019
SRR23103824	mel54	https://doi.org/10.1126/sciadv.adh3425	PRJNA924898	Chen2024	2017	Mohe, Heilongjiang	53	122	0.40854733356172207	1427	absent	2017-2019
DrosEu-212	NL_Gro_Gro_1_2017-10-11	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Netherlands	53.1512	6.3034	0.40742697270754824	1834	absent	2017-2019
SRR23876574	H3	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13	0.406328422975905	130	absent	<2010
DrosEu-194	DE_Bad_Bro_1_2020-07-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Germany	48.217898	7.819194	0.4030375699440448	1050	absent	2020-2021
SRR189053	CO8N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Cameroon	6	10	0.40296185908416127	1473	absent	<2010
SRR23104011	mel114	https://doi.org/10.1126/sciadv.adh3425	PRJNA924957	Chen2024	2017	Jiayuguan, Gansu	39	98	0.401051615850177	1432	absent	2017-2019
SRR23103825	mel53	https://doi.org/10.1126/sciadv.adh3425	PRJNA924897	Chen2024	2017	Changchun, Jilin	43	125	0.3994284572342126	1175	absent	2017-2019
DrosEu-157	RU_Vla_Ale_1_2018-10-13	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Russia	56.41472	38.71611	0.3975431083704465	422	absent	2017-2019
SRR189073	ED55-2_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39	0.396324997145141	536	absent	<2010
DrosEu-97	DE_Bra_Ber_2_2021-07-24	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	52.38012	12.86791	0.39386776293251113	343	absent	2020-2021
DrosEu-119	FI_Pir_Aka_1_2020-06-28	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Finland	61.1	23.5	0.3912310151878497	280	absent	2020-2021
SRR306623	SP173_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31	0.38966952152563666	1399	absent	2010-2017
DrosEu-159	RS_Sre_Sla_1_2019-06-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Serbia	45.09	20.18	0.3885838757565376	1382	absent	2017-2019
SRR3939057	GA_at_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	34	-83	0.3876608427543679	1163	absent	2010-2017
DrosEu-231	DE_Bay_Mun_1_2017-06-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Germany	48.18	11.61	0.38667100605230104	1641	absent	2017-2019
SRR306622	RG37N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29	0.38629884663697617	1429	absent	<2010
SRR23103866	mel254	https://doi.org/10.1126/sciadv.adh3425	PRJNA925095	Chen2024	2017	Lhasa, Tibet	29	91	0.3849431312093183	1605	absent	2017-2019
SRR306632	SP188_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31	0.3843710174717369	1386	absent	2010-2017
SRR23103934	mel199	https://doi.org/10.1126/sciadv.adh3425	PRJNA925040	Chen2024	2017	Dalian, Liaoning	38	121	0.38021365764531234	1246	absent	2017-2019
SRR23103915	mel214	https://doi.org/10.1126/sciadv.adh3425	PRJNA925055	Chen2024	2017	Lhasa, Tibet	29	91	0.3782327281032317	1571	absent	2017-2019
SRR23103876	mel246	https://doi.org/10.1126/sciadv.adh3425	PRJNA925087	Chen2024	2017	Lhasa, Tibet	29	91	0.3770994632865136	1331	absent	2017-2019
SRR23103899	mel71	https://doi.org/10.1126/sciadv.adh3425	PRJNA924915	Chen2024	2017	Fuyuan, Heilongjiang	48	130	0.3765115907274181	1223	absent	2017-2019
SRR23103786	mel188	https://doi.org/10.1126/sciadv.adh3425	PRJNA925029	Chen2024	2017	Lanzhou, Gansu	36	100	0.3740566404019641	1173	absent	2017-2019
DrosEu-195	DE_Bad_Bro_1_2020-10-24	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Germany	48.217898	7.819194	0.37129564919492974	590	absent	2020-2021
SRR3590555	WI_cp_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	43	-90	0.3700532145712002	1210	absent	2010-2017
SRR23103803	mel173	https://doi.org/10.1126/sciadv.adh3425	PRJNA925014	Chen2024	2017	Yantai, Shandong	37	120	0.36646168779262306	1404	absent	2017-2019
SRR23104014	mel241	https://doi.org/10.1126/sciadv.adh3425	PRJNA925082	Chen2024	2017	Lhasa, Tibet	29	91	0.3664234326824255	1037	absent	2017-2019
SRR23104018	mel238	https://doi.org/10.1126/sciadv.adh3425	PRJNA925079	Chen2024	2017	Lhasa, Tibet	29	91	0.3659178942560237	986	absent	2017-2019
SRR23103927	mel204	https://doi.org/10.1126/sciadv.adh3425	PRJNA925045	Chen2024	2017	Lhasa, Tibet	29	91	0.3654314262875414	1253	absent	2017-2019
DrosEu-22	TR_Ank_Yes_1_2017-08-30	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2017	Turkey	40.231447	32.260331	0.3650888432111454	871	absent	2017-2019
SRR23104038	mel221	https://doi.org/10.1126/sciadv.adh3425	PRJNA925062	Chen2024	2017	Lhasa, Tibet	29	91	0.3639488409272582	790	absent	2017-2019
SRR23103875	mel247	https://doi.org/10.1126/sciadv.adh3425	PRJNA925088	Chen2024	2017	Lhasa, Tibet	29	91	0.3633546876784287	1576	absent	2017-2019
DrosEu-162	RS_Pod_Sta_1_2019-09-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Serbia	44.59	20.9	0.36219173232842294	1247	absent	2017-2019
SRR23103799	mel177	https://doi.org/10.1126/sciadv.adh3425	PRJNA925018	Chen2024	2017	Yantai, Shandong	37	120	0.3587062921091698	1242	absent	2017-2019
SRR23876585	H2	https://doi.org/10.1371/journal.pbio.3002333	PRJNA945389	Shpak2023	1933	Lund, Sweden	55	13	0.3585083932853717	53	absent	<2010
SRR23104032	mel226	https://doi.org/10.1126/sciadv.adh3425	PRJNA925067	Chen2024	2017	Lhasa, Tibet	29	91	0.3577516272696129	1173	absent	2017-2019
SRR23103759	mel129	https://doi.org/10.1126/sciadv.adh3425	PRJNA924972	Chen2024	2017	Taian, Shandong	36	116	0.3558339614023067	1036	absent	2017-2019
SRR23103952	mel156	https://doi.org/10.1126/sciadv.adh3425	PRJNA924997	Chen2024	2017	Yinchuan, Ningxia	38	100	0.3550140459061322	1117	absent	2017-2019
SRR23103775	mel94	https://doi.org/10.1126/sciadv.adh3425	PRJNA924938	Chen2024	2017	Xining, Qinghai	36	101	0.3530922690419093	1149	absent	2017-2019
SRR23103918	mel211	https://doi.org/10.1126/sciadv.adh3425	PRJNA925052	Chen2024	2017	Lhasa, Tibet	29	91	0.35255498458376155	1529	absent	2017-2019
DrosEu-160	HR_Dub_Her_1_2019-09-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Montenegro	42.279	18.334	0.35228811236724905	335	absent	2017-2019
SRR23103770	mel99	https://doi.org/10.1126/sciadv.adh3425	PRJNA924943	Chen2024	2017	Longnan, Gansu	34	105	0.35227897681854514	1288	absent	2017-2019
SRR23103955	mel153	https://doi.org/10.1126/sciadv.adh3425	PRJNA924994	Chen2024	2017	Saybag District, Urumqi, Xinjiang	40	86	0.351638118076967	1189	absent	2017-2019
SRR23103845	mel117	https://doi.org/10.1126/sciadv.adh3425	PRJNA924960	Chen2024	2017	Jiayuguan, Gansu	39	98	0.3496284115564691	1283	absent	2017-2019
SRR23104029	mel229	https://doi.org/10.1126/sciadv.adh3425	PRJNA925070	Chen2024	2017	Lhasa, Tibet	29	91	0.3488524608884321	1223	absent	2017-2019
SRR23104013	mel242	https://doi.org/10.1126/sciadv.adh3425	PRJNA925083	Chen2024	2017	Lhasa, Tibet	29	91	0.34711522210802787	1205	absent	2017-2019
SRR23103867	mel253	https://doi.org/10.1126/sciadv.adh3425	PRJNA925094	Chen2024	2017	Lhasa, Tibet	29	91	0.3465090784515245	1282	absent	2017-2019
SRR23104033	mel225	https://doi.org/10.1126/sciadv.adh3425	PRJNA925066	Chen2024	2017	Lhasa, Tibet	29	91	0.3454324540367706	1091	absent	2017-2019
SRR306631	SP235_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31	0.3454132693844924	1365	absent	2010-2017
SRR23103821	mel56	https://doi.org/10.1126/sciadv.adh3425	PRJNA924900	Chen2024	2017	Mohe, Heilongjiang	53	122	0.3440054813292223	1132	absent	2017-2019
SRR23103913	mel108	https://doi.org/10.1126/sciadv.adh3425	PRJNA924952	Chen2024	2017	Baotou, Inner Mongolia	40	110	0.3438430969510106	931	absent	2017-2019
SRR23103925	mel206	https://doi.org/10.1126/sciadv.adh3425	PRJNA925047	Chen2024	2017	Lhasa, Tibet	29	91	0.342055041680941	942	absent	2017-2019
SRR23103894	mel75	https://doi.org/10.1126/sciadv.adh3425	PRJNA924919	Chen2024	2017	Urumqi, Xinjiang	43	87	0.3408909443873473	1445	absent	2017-2019
SRR23104026	mel231	https://doi.org/10.1126/sciadv.adh3425	PRJNA925072	Chen2024	2017	Lhasa, Tibet	29	91	0.34042777206805985	896	absent	2017-2019
SRR23103929	mel202	https://doi.org/10.1126/sciadv.adh3425	PRJNA925043	Chen2024	2017	Lhasa, Tibet	29	91	0.3400835902706406	975	absent	2017-2019
SRR23104041	mel219	https://doi.org/10.1126/sciadv.adh3425	PRJNA925060	Chen2024	2017	Lhasa, Tibet	29	91	0.33939031631837385	918	absent	2017-2019
SRR3939056	GA_at_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	34	-83	0.3391915039397054	974	absent	2010-2017
SRR189277	SP221_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31	0.3391722050930684	1297	absent	2010-2017
DrosEu-152	UA_Kie_Vys_1_2018-09-27	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2018	Ukraine	50.383359	30.367921	0.33839020212401505	1444	absent	2017-2019
SRR23103983	mel31	https://doi.org/10.1126/sciadv.adh3425	PRJNA924875	Chen2024	2017	Wuhai, Inner Mongolia	39	100	0.33770526435994064	1111	absent	2017-2019
DrosEu-137	HU_Pes_Pil_1_2020-08-17	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Hungary	47.617361	18.892002	0.3373767271896768	307	absent	2020-2021
SRR3939048	CA_es_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	39	-122	0.33714091583875755	1126	absent	2010-2017
SRR23103975	mel135	https://doi.org/10.1126/sciadv.adh3425	PRJNA924978	Chen2024	2017	Guide County, Qinghai	36	101	0.33694404476418865	988	absent	2017-2019
SRR23103950	mel158	https://doi.org/10.1126/sciadv.adh3425	PRJNA924999	Chen2024	2017	Yinchuan, Ningxia	38	100	0.3355629781888775	956	absent	2017-2019
DrosEu-93	DE_Bay_Mun_1_2021-06-25	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Germany	48.18	11.61	0.33495489322827454	517	absent	2020-2021
SRR23103969	mel142	https://doi.org/10.1126/sciadv.adh3425	PRJNA924983	Chen2024	2017	Beijing	40	116	0.3340259221194473	1087	absent	2017-2019
SRR23103916	mel213	https://doi.org/10.1126/sciadv.adh3425	PRJNA925054	Chen2024	2017	Lhasa, Tibet	29	91	0.3339582048646797	955	absent	2017-2019
SRR23103943	mel191	https://doi.org/10.1126/sciadv.adh3425	PRJNA925032	Chen2024	2017	Lanzhou, Gansu	36	100	0.3332504282288455	1210	absent	2017-2019
SRR23103877	mel245	https://doi.org/10.1126/sciadv.adh3425	PRJNA925086	Chen2024	2017	Lhasa, Tibet	29	91	0.33248715313463517	1308	absent	2017-2019
SRR189279	SP241_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31	0.3324649994290282	1214	absent	2010-2017
SRR3939093	CA_tu_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-120	0.3321223021582734	1014	absent	2010-2017
DrosEu-133	UA_Kie_Kyi_1_2020-09-29	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Ukraine	50.37875	30.475091	0.33162521411442275	299	absent	2020-2021
SRR23103978	mel105	https://doi.org/10.1126/sciadv.adh3425	PRJNA924949	Chen2024	2017	Baotou, Inner Mongolia	40	110	0.3312329564919493	1000	absent	2017-2019
SRR23103883	mel84	https://doi.org/10.1126/sciadv.adh3425	PRJNA924928	Chen2024	2017	Jiamusi, Heilongjiang	46	130	0.3307173689619733	1065	absent	2017-2019
SRR23103878	mel244	https://doi.org/10.1126/sciadv.adh3425	PRJNA925085	Chen2024	2017	Lhasa, Tibet	29	91	0.3306191618134064	701	absent	2017-2019
SRR23104016	mel24	https://doi.org/10.1126/sciadv.adh3425	PRJNA924868	Chen2024	2017	Linhe, Bayannur, Inner Mongolia	40	107	0.3300084503825511	1186	absent	2017-2019
SRR23103781	mel9	https://doi.org/10.1126/sciadv.adh3425	PRJNA924853	Chen2024	2017	Lanzhou, Gansu	36	103	0.3284043622245061	1073	absent	2017-2019
SRR23103985	mel3	https://doi.org/10.1126/sciadv.adh3425	PRJNA924847	Chen2024	2017	Hohhot, Inner Mongolia	40	111	0.3281139659700811	714	absent	2017-2019
