sample	strain	publication	study	study_id	year	location	lat	lon
SRR189268	NG9_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2004	Nigeria	12	13
SRR189114	GU10_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189115	GU11-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189117	GU2_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189118	GU3-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189120	GU6_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189121	GU7_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR189122	GU9_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Guinea	11	12
SRR098323	UG17-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR189412	UG19_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR189265	UG28N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR098324	UG40-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR189415	UG5N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR189416	UG7_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2005	Uganda	1	33
SRR1525695	GA_ha_08_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2008	USA	31	-83
SRR189056	ED10N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189057	ED19-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189058	ED2_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189059	ED3_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189073	ED55-2_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189075	ED56-2_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189076	ED5N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189077	ED6N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	7	39
SRR189078	EZ2_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	8	39
SRR189082	EZ25_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	8	39
SRR189083	EZ5N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	8	39
SRR189084	EZ63-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Ethiopia	8	39
SRR189269	RC1_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	28
SRR189270	RC5_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	28
SRR189374	RG10_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189375	RG11N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306634	RG13N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189377	RG15_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189392	RG15_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306619	RG18N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189380	RG19_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189381	RG2_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189382	RG21N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189383	RG22_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189385	RG25_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189386	RG28_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189387	RG3_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189388	RG32N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189389	RG33_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189390	RG34_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189391	RG35_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189378	RG35_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189393	RG36_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306622	RG37N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189395	RG38N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306630	RG39_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306629	RG4N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189398	RG5_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306624	RG6N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189400	RG7_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR306621	RG8_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR189407	RG9_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2008	Rwanda	-2	29
SRR1525698	ME_bo_09_fall.r1	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2009	USA	44	-70
SRR1525699	ME_bo_09_fall.r2	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2009	USA	44	-70
SRR1525768	PA_li_09_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2009	USA	40	-75
SRR189242	KN133N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189239	KN20N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189243	KN34_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189245	KN35_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189246	KN6_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189248	KN73-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189249	KO10-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189250	KO10-1-3_2	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189251	KO2-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189252	KO6-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189254	KR39_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189255	KR42_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189256	KR4N_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189257	KR54-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189259	KR68-1-3_1	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189260	KR7_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	0	36
SRR189261	KT1_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	-1	37
SRR189262	KT6_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Kenya	-1	37
SRR189272	TZ10_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Tanzania	-9	33
SRR189273	TZ14_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Tanzania	-9	33
SRR189274	TZ8_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2009	Tanzania	-9	33
SRR1525694	FL_ho_10_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2010	USA	26	-80
SRR1525696	SC_eu_10_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2010	USA	33	-80
SRR1525770	PA_li_10_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2010	USA	40	-75
SRR189038	CK1_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Congo	1	25
SRR189040	CK2_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Congo	1	25
SRR189088	FR14_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189089	FR151_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189090	FR180_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189091	FR207_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189092	FR217_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189093	FR229_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189094	FR310_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189095	FR361_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR189096	FR70_2-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	France	46	5
SRR306623	SP173_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR306632	SP188_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR189277	SP221_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR306631	SP235_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR189279	SP241_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR306614	SP254_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR189281	SP80_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	South Africa	-24	31
SRR306611	UM118_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31
SRR306609	UM37_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31
SRR306612	UM526_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31
SRR189424	ZI261_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-17	29
SRR189425	ZI268_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-17	29
SRR189426	ZI468_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-17	29
SRR189423	ZI91_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-17	29
SRR306616	ZL130_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-18	26
SRR306618	ZO12_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-12	26
SRR189283	ZO65_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Zambia	-12	26
SRR1525773	PA_li_11_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2011	USA	40	-75
SRR3590548	ES_ba_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	Spain	41	2
SRR3590549	ES_ba_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	Spain	41	2
SRR3590550	VA_ch_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-78
SRR3590551	VA_ch_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-78
SRR3590552	AT_gr_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	Austria	48	16
SRR3590553	AT_gr_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	Austria	48	16
SRR3590554	WI_cp_12_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	43	-90
SRR3590555	WI_cp_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	43	-90
SRR3590556	MA_la_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	42	-72
SRR3590557	MA_la_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	42	-72
SRR3590558	NY_it_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	42	-77
SRR3590559	NY_it_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	42	-77
SRR3590560	PA_li_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	40	-75
SRR3590561	PA_li_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	40	-75
SRR3590562	WI_cp_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	43	-90
SRR3590563	PA_li_12_sum	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	40	-75
SRR3939042	CA_es_12_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	39	-122
SRR3939043	CA_es_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	39	-122
SRR3939054	CA_pl_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	39	-121
SRR3939081	CA_st_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-121
SRR3939093	CA_tu_12_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-120
SRR3939100	CA_st_12_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-121
SRR3939101	CA_tu_12_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	38	-120
SRR3939102	CA_pl_12_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	39	-121
SRR3939103	CA_es_12_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2012	USA	39	-122
SRR3939044	CA_tu_13_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	38	-120
SRR3939045	CA_pl_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	39	-121
SRR3939046	CA_tu_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	38	-120
SRR3939047	CA_st_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	38	-121
SRR3939048	CA_es_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	39	-122
SRR3939049	CA_tu_13_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	38	-120
SRR3939050	CA_pl_13_frost	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	39	-121
SRR3939051	WI_cp_13_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	43	-90
SRR3939052	WI_cp_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	43	-90
SRR3939053	UA_od_13_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	Ukraine	46	31
SRR3939055	UA_od_13_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	Ukraine	46	31
SRR3939095	PA_li_13_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	40	-75
SRR3939104	CA_es_13_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2013	USA	39	-122
SRR14308759	spring4	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308760	spring3	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308761	spring2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308762	spring1	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308763	fall6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308764	fall5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308765	fall4	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308766	fall3	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308767	spring12	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308768	spring11	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308769	spring10	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308770	spring9	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308771	spring8	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308772	spring7	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308773	spring6	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308774	spring5	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308775	fall2	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR14308776	fall1	https://doi.org/10.1093/molbev/msab368	PRJNA685394	Kapun2021	2014	Providence, USA	42	-71
SRR3939056	GA_at_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	34	-83
SRR3939057	GA_at_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	34	-83
SRR3939058	MI_bh_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	42	-86
SRR3939059	MI_bh_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	42	-86
SRR3939076	VA_ch_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	38	-78
SRR3939077	VA_ch_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	38	-78
SRR3939078	WI_cp_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	43	-90
SRR3939080	MA_la_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	42	-72
SRR3939082	MA_la_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	42	-72
SRR3939083	PA_st_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	41	-78
SRR3939084	PA_st_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	41	-78
SRR3939085	KA_to_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	39	-96
SRR3939086	KA_to_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	39	-96
SRR3939096	PA_li_14_fall	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	40	-75
SRR3939097	PA_li_14_spring	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	USA	40	-75
SRR5647729	FR_Vil_14_07	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	France	49	2
SRR5647730	UA_Kha_14_46	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	36
SRR5647731	UA_Che_14_47	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	51	30
SRR5647732	UA_Dro_14_27	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	49	24
SRR5647733	UA_Che_14_28	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	51	30
SRR5647734	UA_Che_14_29	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	51	30
SRR5647735	SE_Lun_14_30	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Sweden	56	13
SRR5647736	UA_Kyi_14_23	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	30
SRR5647737	UA_Kyi_14_24	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	30
SRR5647738	UA_Var_14_25	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	33
SRR5647739	UA_Pyr_14_26	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	33
SRR5647740	UA_Uma_14_50	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	49	30
SRR5647741	RU_Val_14_51	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Russia	58	33
SRR5647742	UA_Che_14_48	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	51	29
SRR5647743	UA_Kyi_14_49	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	30
SRR5647744	DE_Mun_14_31	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Germany	48	12
SRR5647745	DE_Mun_14_32	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Germany	48	12
SRR5647746	AT_See_14_44	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Austria	47	14
SRR5647747	UA_Kha_14_45	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Ukraine	50	36
SRR5647748	TR_Yes_14_04	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Turkey	40	32
SRR5647749	TR_Yes_14_03	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Turkey	40	32
SRR5647750	AT_Mau_14_02	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Austria	48	16
SRR5647751	AT_Mau_14_01	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	Austria	48	16
SRR5647752	UK_She_14_09	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	United Kingdom	53	-2
SRR5647753	FR_Got_14_08	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	France	45	5
SRR5647754	CH_Cha_14_42	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Switzerland	47	7
SRR5647755	FR_Vil_14_05	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	France	49	2
SRR5647756	CY_Nic_14_11	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Cyprus	35	33
SRR5647757	UK_Sou_14_10	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	United Kingdom	56	-3
SRR5647758	CH_Cha_14_43	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Switzerland	47	7
SRR5647759	UK_Lut_14_13	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	United Kingdom	52	-1
SRR5647760	UK_Mar_14_12	https://doi.org/10.1093/molbev/msab259	PRJNA388788	Kapun2021	2014	United Kingdom	52	-1
SRR5647761	DE_Bro_14_15	https://doi.org/10.1093/molbev/msab259	PRJNA308584	Kapun2021	2014	Germany	48	8
