sampleId	sampleId_orig	locality	lat	long	continent	country	city	province	min_day	max_day	min_month	max_month	year	jday	exactDate	sr_season	bio_rep	tech_rep	exp_rep	loc_rep	fruit_type	subsample	nFlies	fly_type	library_type	sampling_strategy	seq_platform	set	collector	SRA_Accession	reference	SequencingId	low_qual	DIN	DNA_result	DNA_Status	library_result	totalreads	SimCont.Norm	pcrdup	pNpS	private	Cov	Miss	Recommendation	collapsedSamples	N	cluster1.0	cluster2.0_k4	cluster2.0_k5	cluster2.0_k8	fruit_type_curated
CA_Nov_Gas_0_2013-10-15	NA	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	NA	NA	NA	NA	NA	0	634	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449031;SRR8448991;SRR8448986;SRR8448944;SRR8448961;SRR8448925;SRR8448919;SRR8448976;SRR8448938;SRR8448916	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015481965	0.026096	NA	NA	76.85807958	0.053153687	Pass	CA_Nov_Gas_10_2013-10-15;CA_Nov_Gas_1_2013-10-15;CA_Nov_Gas_2_2013-10-15;CA_Nov_Gas_3_2013-10-15;CA_Nov_Gas_4_2013-10-15;CA_Nov_Gas_5_2013-10-15;CA_Nov_Gas_6_2013-10-15;CA_Nov_Gas_7_2013-10-15;CA_Nov_Gas_8_2013-10-15;CA_Nov_Gas_9_2013-10-15	10	4	4	3	4	NA
CA_Nov_Gas_10_2013-10-15	CAN_NS-30C-100_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	30C_100	NA	NA	10	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8449031	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015379186	0.002914	0.377265827	3.556664262	5.829556858	0.331621147	High Missing Data	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_1_2013-10-15	CAN_NS-20C-005_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	20C_005	NA	NA	1	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448991	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.014988324	0.006523	0.32412036	3.680607429	10.09368182	0.047036117	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_2_2013-10-15	CAN_NS-20C-025_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	20C_025	NA	NA	2	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448986	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015076302	0.011292	0.316877117	3.217747073	9.538112744	0.049243323	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_3_2013-10-15	CAN_NS-20C-075_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	20C_075	NA	NA	3	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448944	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015593562	0.010806	0.310601958	3.342817315	10.33752492	0.055867855	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_4_2013-10-15	CAN_NS-20C-095_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	20C_095	NA	NA	4	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448961	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.01513971	0.002932	0.339746704	3.431685345	6.288444404	0.231988189	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_5_2013-10-15	CAN_NS-20C-100_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	20C_100	NA	NA	5	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448925	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015132125	0.005885	0.415368868	4.622048151	15.21660401	0.031530344	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_6_2013-10-15	CAN_NS-30C-005_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	30C_005	NA	NA	6	24	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448919	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.014831181	0.011744	0.338535306	3.326540669	8.179374957	0.085965068	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_7_2013-10-15	CAN_NS-30C-025_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	30C_025	NA	NA	7	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448976	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.01615044	0.015295	0.300504804	3.447932866	11.79427264	0.049482583	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_8_2013-10-15	CAN_NS-30C-075_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	30C_075	NA	NA	8	125	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448938	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.016111316	0.012972	0.299927304	3.148910993	8.404138029	0.10748873	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Nov_Gas_9_2013-10-15	CAN_NS-30C-095_NA_Oct_2013	CA_Nov_Gas	45.08	-64.37	North_America	Canada	Gaspereau	Nova Scotia	1	30	10	10	2013	288	FALSE	NA	BR-1	TR-1	30C_095	NA	NA	9	72	isofemale	pooled	NA	Illumina NextSeq 500	dest_plus	Fournier-Level et al	SRR8448916	https://doi.org/10.1038/s41559-019-0837-y	NA	NA	NA	NA	NA	NA	NA	0.015215184	0.005484	0.317962088	3.423245874	8.193752486	0.081312366	Collapse	NA	NA	NA	NA	NA	NA	NA
CA_Ont_Sud_1_2015-08-03	ON_su_15_spring	CA_Ont_Sud	46.53	-80.96	North_America	Canada	Sudbury	Ontario	3	3	8	8	2015	215	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	108	wild	pooled	NA	Illumina HiSeq 4000	DrosRTEC	T._Merrit	SRR3939091	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008457748	0.165494	0.342425069	3.711132072	219.2861046	0.081287615	Pass	NA	NA	4	4	3	4	NA
CA_Ont_Sud_1_2015-09-30	ON_su_15_fall	CA_Ont_Sud	46.53	-80.96	North_America	Canada	Sudbury	Ontario	30	30	9	9	2015	273	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	110	wild	pooled	NA	Illumina HiSeq 4000	DrosRTEC	T._Merrit	SRR3939092	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008176147	0.065692	0.358403711	4.201096565	77.5475123	0.060216265	Pass	NA	NA	4	4	3	4	NA
CH_Fri_Ors_1_2020-08-23	NA	CH_Fri_Ors	46.71061	6.98713	Europe	Switzerland	Orsonnens	Fribourg	23	23	8	8	2020	236	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Margot Paris	NA	NA	DrosEu-103	FALSE	4.7	Fail	DIN	Pass	81616022	0.008065326	0.371876	0.356789776	3.966892296	34.52524842	0.003122508	Pass	NA	NA	2	3	2	2	Apple
CH_Vau_Cha_1_2014-07-24	CH_Cha_14_42	CH_Vau_Cha	46.5670416	6.701867	Europe	Switzerland	Chalet Gobet	Vaud	24	24	7	7	2014	205	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	NextSeq 500	DrosEU	Martin_Kapun	SRR5647754	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.010157304	0.132322	0.39472311	4.588596606	47.68952006	0.024944153	Pass	NA	NA	2	3	2	2	NA
CH_Vau_Cha_1_2014-10-05	CH_Cha_14_43	CH_Vau_Cha	46.5670416	6.701867	Europe	Switzerland	Chalet Gobet	Vaud	5	5	10	10	2014	278	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	NextSeq 500	DrosEU	Martin_Kapun	SRR5647758	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.034568646	0.040205	1.107313392	5.573923549	32.3525163	0.038563025	Abnormal PNPS	NA	NA	NA	NA	NA	NA	NA
CH_Vau_Cha_1_2015-08-01	CH_Cha_15_39	CH_Vau_Cha	46.5670416	6.701867	Europe	Switzerland	Chalet Gobet	Vaud	1	1	8	8	2015	213	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Martin_Kapun_(Flatt_lab)	SRR8439166	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.00887463	0.134753	0.369431385	4.065392962	52.00188347	0.009258814	Pass	NA	NA	2	3	2	2	NA
CH_Vau_Cha_1_2016-08-15	CH_Cha_16_38	CH_Vau_Cha	46.5670416	6.701867	Europe	Switzerland	Chalet Gobet	Vaud	15	15	8	8	2016	228	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Martin_Kapun	SRR8494459	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.009054902	0.191145	0.391397253	4.786431971	51.6125363	0.037881645	Pass	NA	NA	2	3	2	2	NA
CH_Vau_Vul_1_2018-09-18	NA	CH_Vau_Vul	46.93947	7.05332	Europe	Switzerland	Vully	Vaud	18	18	9	9	2018	261	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Esra Durmaz; Envel Kerdaffrec	NA	NA	DrosEu-113	FALSE	6.1	Hold	DIN	Pass	NA	0.026302324	0.269955	0.359312286	3.676327734	41.83349981	0.001076911	Pass	NA	NA	2	3	2	7	Apple
CH_Vau_Vul_1_2019-07-17	NA	CH_Vau_Vul	46.93947	7.05332	Europe	Switzerland	Vully	Vaud	17	17	7	7	2019	198	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Esra Durmaz; Envel Kerdaffrec	NA	NA	DrosEu-109	FALSE	5.9	Fail	DIN	Pass	NA	0.007849402	0.340361	0.335626718	3.829753919	33.69133224	0.010880247	Pass	NA	NA	2	3	2	2	Apple
CH_Vau_Vul_1_2019-09-24	NA	CH_Vau_Vul	46.93947	7.05332	Europe	Switzerland	Vully	Vaud	24	24	9	9	2019	267	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Esra Durmaz; Envel Kerdaffrec	NA	NA	DrosEu-110	FALSE	6.8	Hold	DIN	Pass	71014878	0.032679412	0.253085	0.352094145	3.91481898	37.72916085	0.004879829	Pass	NA	NA	2	3	2	2	Apple
CH_Vau_Vul_1_2020-07-29	NA	CH_Vau_Vul	46.93947	7.05332	Europe	Switzerland	Vully	Vaud	29	29	7	7	2020	211	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Margot Paris; Envel Kerdaffrec	NA	NA	DrosEu-111	FALSE	5.9	Fail	DIN	Pass	NA	0.008339104	0.447544	0.362340564	4.084933575	49.79701544	0.010205176	Pass	NA	NA	2	3	2	2	Apple
CH_Vau_Vul_1_2020-09-15	NA	CH_Vau_Vul	46.93947	7.05332	Europe	Switzerland	Vully	Vaud	15	15	9	9	2020	259	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Envel Kerdaffrec	NA	NA	DrosEu-112	FALSE	6.2	Hold	DIN	Pass	67718066	0.008073907	0.260793	0.355536753	3.887729797	35.56684646	0.001525826	Pass	NA	NA	2	3	2	2	Apple
CM_Nor_Oku_1_2004-04-15	CO	CM_Nor_Oku	6.25	10.43	Africa	Cameroon	Oku	Nord-Ouest	1	30	4	4	2004	106	FALSE	NA	BR-1	TR-1	NA	NA	NA	1	10	NA	haploid_embryo	NA	NA	dgn	J._Pool	NA	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pass	NA	NA	1	1	4	1	NA
CN_Bei_Bei_1_1992-09-16	B	CN_Bei_Bei	39.91	116.41	Asia	China	Beijing	Beijing	1	30	9	9	1992	260	FALSE	NA	BR-1	TR-1	NA	NA	NA	1	15	NA	inbred_line	NA	NA	dgn	X._Huang	NA	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pass	NA	NA	NA	NA	NA	NA	NA
CO_Cun_LaV_1_2019-02-21	NA	CO_Cun_LaV	4.995972	-74.364194	South_America	Colombia	LaVega - Finca mata de la guadua	Cundinamarca	21	21	2	2	2019	52	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	NA	NA	NA	NovaSeq6000	DrosEU_3_sa	Carlos Arboleda	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008469204	0.147254	NA	NA	54.23508988	0.028664082	Pass	NA	NA	5	4	5	5	NA
CO_Cun_Tab_1_2019-12-20	NA	CO_Cun_Tab	4.967111	-74.083889	South_America	Colombia	Tabio - Los arbustos	Cundinamarca	20	20	12	12	2019	354	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	39	NA	NA	NA	NovaSeq6000	DrosEU_3_sa	Carlos Arboleda	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008404175	0.111388	0.344267013	4.37650396	49.31073631	0.032523782	Pass	NA	NA	4	4	3	5	NA
CO_Mag_Sie_1_2019-07-24	NA	CO_Mag_Sie	11.143611	-74.117778	South_America	Colombia	Sierra Nevada de Santa Maria - Minca	Magdalena	24	24	7	7	2019	205	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	NA	NA	NA	NovaSeq6000	DrosEU_3_sa	Carlos Arboleda	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008814529	0.122488	0.338437437	4.558768552	52.45570126	0.036077248	Pass	NA	NA	5	4	5	5	NA
CO_Tol_Gir_1_2019-04-04	NA	CO_Tol_Gir	4.489722	-75.311667	South_America	Colombia	Girardot	Tolima	4	4	4	4	2019	94	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	NA	NA	NA	NovaSeq6000	DrosEU_3_sa	Carlos Arboleda	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.032624965	0.127379	0.348429705	4.466096174	53.18103743	0.030369474	Pass	NA	NA	5	4	5	5	NA
CO_Tol_Mel_1_2019-06-11	NA	CO_Tol_Mel	4.203889	-74.642778	South_America	Colombia	Melgar	Tolima	11	11	6	6	2019	162	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	NA	NA	NA	NovaSeq6000	DrosEU_3_sa	Carlos Arboleda	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009026871	0.111155	0.334867733	4.32811446	43.35298541	0.033121688	Pass	NA	NA	5	4	5	5	NA
CY_Nic_Nic_1_2014-08-10	CY_Nic_14_11	CY_Nic_Nic	35.066461	33.322646	Asia	Cyprus	Nicosia	Nicosia	10	10	8	8	2014	222	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	NextSeq 500	DrosEU	Eliza_Argyridou	SRR5647756	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008104559	0.052201	0.359440472	4.286164447	75.72501352	0.031080944	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2014-06-26	DE_Bro_14_14	DE_Bad_Bro	48.218024	7.819513	Europe	Germany	Broggingen	Baden-Wurttemberg	26	26	6	6	2014	177	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	NextSeq 500	DrosEU	Fabian_Staubach	SRR5647762	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.00774341	0.045749	0.360072704	4.112202691	73.59253198	0.027321704	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2014-10-15	DE_Bro_14_15	DE_Bad_Bro	48.218024	7.819513	Europe	Germany	Broggingen	Baden-Wurttemberg	15	15	10	10	2014	288	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	NextSeq 500	DrosEU	Fabian_Staubach	SRR5647761	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.007565944	0.039736	0.356801708	4.114510905	56.80405687	0.028479177	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2015-06-30	DE_Bro_15_53	DE_Bad_Bro	48.218	7.82	Europe	Germany	Broggingen	Baden-Wurttemberg	30	30	6	6	2015	181	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Fabian_Staubach	SRR8439148	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.00807665	0.201164	0.396039322	4.130944568	68.84087532	0.005615079	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2015-10-25	DE_Bro_15_54	DE_Bad_Bro	48.218	7.82	Europe	Germany	Broggingen	Baden-Wurttemberg	25	25	10	10	2015	298	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Fabian_Staubach	SRR8439144	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008045699	0.183105	0.402392475	4.164055292	75.42498684	0.004967671	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2016-07-24	DE_Bro_16_10	DE_Bad_Bro	48.218024	7.819513	Europe	Germany	Broggingen	Baden-Wurttemberg	24	24	7	7	2016	206	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Fabian_Staubach	SRR8494434	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008113868	0.156685	0.357838263	4.290479813	62.23537982	0.039633627	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2016-10-23	DE_Bro_16_11	DE_Bad_Bro	48.218024	7.819513	Europe	Germany	Broggingen	Baden-Wurttemberg	23	23	10	10	2016	297	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild	pooled	NA	HiSeq X Ten	DrosEU	Fabian_Staubach	SRR8494452	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.007956166	0.163114	0.361136837	4.336459734	64.1615882	0.048193104	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2017-06-27	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	27	27	6	6	2017	178	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-191	FALSE	7	Pass	NA	Pass	NA	0.007583425	0.301202	0.343096107	3.974603792	36.40177016	0.012135754	Pass	NA	NA	2	3	2	7	Apple
DE_Bad_Bro_1_2018-06-26	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	26	26	6	6	2018	177	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-192	FALSE	7.9	Pass	NA	Pass	NA	0.007623989	0.267358	0.369385324	3.921686475	46.09647404	0.00356657	Pass	NA	NA	3	2	1	8	Apple
DE_Bad_Bro_1_2019-07-03	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	3	3	7	7	2019	184	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	39	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-193	FALSE	7.2	Pass	NA	Pass	89887996	0.007709703	0.310869	0.354230724	3.79518459	48.07578997	0.005775718	Pass	NA	NA	3	2	1	8	NA
DE_Bad_Bro_1_2020-07-16	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	16	16	7	7	2020	198	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-194	FALSE	5.2	Fail	DIN	Fail	74968532	0.557997188	0.538439	0.302112529	3.983626287	12.47582273	0.030658236	High Contamination	NA	NA	NA	NA	NA	NA	NA
DE_Bad_Bro_1_2020-10-24	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	24	24	10	10	2020	298	TRUE	NA	BR-1	TR-1	NA	NA	NA	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-195	FALSE	5.2	Fail	DIN	Pass	NA	0.589688378	0.524357	0.301395583	3.965295796	12.01681777	0.048982224	High Contamination	NA	NA	NA	NA	NA	NA	NA
DE_Bad_Bro_1_2021-07-21	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	12	31	7	7	2021	202	FALSE	NA	BR-1	TR-1	NA	NA	NA	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-189	FALSE	6.6	Hold	DIN	Pass	63388486	0.007678167	0.261051	0.354869745	3.998128507	37.48219347	0.004217861	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Bro_1_2021-10-20	NA	DE_Bad_Bro	48.217898	7.819194	Europe	Germany	Broggingen	Baden-Wurttemberg	17	23	10	10	2021	293	FALSE	NA	BR-1	TR-1	NA	NA	NA	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Fabian Staubach	NA	NA	DrosEu-190	FALSE	8.1	Pass	NA	Pass	67582736	0.041924719	0.451096	0.387925458	4.224533063	54.24792665	0.005074925	Pass	NA	NA	2	3	2	7	NA
DE_Bad_Wal_1_2019-10-02	NA	DE_Bad_Wal	47.622135	8.217058	Europe	Germany	Waldshut	Baden-Wurttemberg	2	2	10	10	2019	275	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	40	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Christian Feller	NA	NA	DrosEu-171	FALSE	6	Hold	DIN	Pass	NA	0.035207503	0.415986	0.353197281	4.273672462	33.21619836	0.003927644	Pass	NA	NA	2	3	2	7	Apple
DE_Bad_Wal_1_2020-10-02	NA	DE_Bad_Wal	47.622135	8.217058	Europe	Germany	Waldshut	Baden-Wurttemberg	2	2	10	10	2020	276	TRUE	NA	BR-1	TR-1	NA	NA	Apples	1	20	Wild flies	pooled	Fly trap	NovaSeq6000	DrosEU_3	Christian Feller	NA	NA	DrosEu-117	FALSE	5.7	Fail	DIN	Fail	79008710	0.30568132	0.423951	0.329486705	4.053999861	24.38333755	0.009289874	High Contamination	NA	NA	NA	NA	NA	NA	Apple
DE_Bay_Mun_1_2014-06-19	DE_Mun_14_31	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	19	19	6	6	2014	170	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	NextSeq 500	DrosEU	John_Parsch	SRR5647744	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.007861692	0.050846	0.3440232	3.980457892	47.7022667	0.037316739	Pass	NA	NA	2	3	2	2	NA
DE_Bay_Mun_1_2014-09-03	DE_Mun_14_32	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	3	3	9	9	2014	246	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	NextSeq 500	DrosEU	John_Parsch	SRR5647745	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.009273432	0.064183	0.473473759	4.857844903	43.92740698	0.037161439	Pass	NA	NA	2	3	2	2	NA
DE_Bay_Mun_1_2015-06-01	DE_Mun_15_45	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	1	1	6	6	2015	152	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	HiSeq X Ten	DrosEU	Eliza_Argyridou	SRR8439125	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008427223	0.236637	0.37710785	4.076021142	59.72566842	0.015807637	Pass	NA	NA	2	3	2	2	NA
DE_Bay_Mun_1_2015-09-01	DE_Mun_15_46	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	1	1	9	9	2015	244	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	HiSeq X Ten	DrosEU	Eliza_Argyridou	SRR8439124	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008455649	0.152676	0.388789661	4.130655349	67.64032815	0.010959354	Pass	NA	NA	2	3	2	2	NA
DE_Bay_Mun_1_2016-06-25	DE_Mun_16_12	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	25	25	6	6	2016	177	TRUE	spring	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	HiSeq X Ten	DrosEU	John_Parsch	SRR8494451	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008130607	0.163226	0.361431365	4.314941087	63.86589155	0.051186519	Pass	NA	NA	2	3	2	2	NA
DE_Bay_Mun_1_2016-09-01	DE_Mun_16_13	DE_Bay_Mun	48.18	11.61	Europe	Germany	Munich	Bayern	1	1	9	9	2016	245	TRUE	fall	BR-1	TR-1	NA	NA	NA	1	40	wild_caught_and_F1	pooled	NA	HiSeq X Ten	DrosEU	John_Parsch	SRR8494454	https://doi.org/10.1093/molbev/msab259	NA	NA	NA	NA	NA	NA	NA	0.008527976	0.176412	0.370294868	4.411164974	67.44752524	0.040877971	Pass	NA	NA	2	3	2	2	NA
